,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
18741,12739,0,0,OKl40-MwIdQ,1,0,20,4979,27706,720,1498814,11
18357,339,1,0,A1nEFUcJrVc,0,0,24,490,11224,1705,670446,4
15300,4926,1,0,7lQoduDvr-M,0,0,24,12762,198065,3193,13173317,3
6027,3703,4,0,c7rT4M5wXt8,0,0,20,3072,22123,204,621495,22
14168,12641,0,0,U3F69WNKgaM,1,0,20,1773,19767,557,449297,44
5351,1632,0,0,1E7ARBEleXw,0,0,20,18268,214013,5245,4355597,7
13001,20644,3,0,CPYCqGCENPg,0,0,20,965,16322,196,445554,13
12204,5962,1,0,4pSpYAmOnRg,0,0,20,10802,144186,5916,4732115,12
6121,13138,0,0,uyXn6K3giUw,1,0,20,5238,22800,481,1240692,39
5877,9858,0,0,lh9y1F59CIY,0,0,24,542,1806,8,74850,9
16496,23967,1,0,K3ZHaRg5LmM,0,0,20,392,1674,54,202013,9
17777,23998,1,0,-DNjebA0Iz0,0,0,20,304,2683,22,112849,11
11653,14431,0,0,w6GpSikGq70,0,0,28,218,1407,77,115920,1
8434,10701,1,0,yRA3WNR8bWs,0,0,24,4943,79916,1290,1444699,36
8072,18503,2,0,bRDYihCSoRY,0,1,24,30,-1,-1,497567,31
18551,16385,0,0,KyZEVrNf0UY,0,0,22,509,1230,52,119341,9
12278,12778,1,0,t1Vn5j1qOoQ,1,0,20,8804,77652,2591,5232717,39
8894,13121,1,0,Wka4sJtkRQM,1,0,20,2141,14755,351,1027836,25
9428,2156,0,0,VqAcCdS-6n8,0,0,20,27,200426,5397,6166754,8
9604,9811,0,0,IYRBq9hxQ-g,0,0,24,1062,4429,110,250840,8
20505,1322,0,0,uVRrgBecaeU,0,0,23,16904,172592,5357,3654313,3
19016,15846,1,0,mc7HnQ0p2Vo,0,0,22,2053,7625,253,440961,7
19941,16471,1,0,D_niL3E9byM,0,0,22,3051,4275,227,582267,11
17088,8274,2,0,lgt9gwwYR5k,0,0,22,4253,84222,444,1579581,3
13296,20666,2,0,UrolME0Ecqc,0,0,20,1463,11881,87,458070,19
21322,9187,21,0,Sx85CtKLKzQ,0,0,24,7164,51670,1718,2310929,10
902,1059,2,0,kfSe-WqmuDQ,0,0,24,3130,8831,355,1106404,3
15388,23441,0,0,I-sUVng1C7E,0,0,43,370,1328,20,98169,11
3109,15613,0,0,dAe87VBQ_64,0,0,22,5395,14644,257,945575,24
18815,8294,2,0,-L1Sl0yRK3E,0,0,24,4836,111887,660,1669876,6
19205,15732,0,0,qFM9eAIl-MM,0,0,22,3046,9541,312,705644,23
12805,152,0,0,MK1SKrx9ESI,0,0,24,3450,73659,3090,1754230,2
16318,13131,1,0,BV9UYHQW-ks,1,0,20,1225,5530,115,209048,56
16942,10888,1,0,oXsSJbP7SlI,2,0,24,5095,109845,1636,1472939,33
16590,499,1,0,hnQqIE3Am70,0,0,24,4113,60297,899,4072898,7
18710,6282,0,0,4UqzLphN_CE,0,0,20,3540,22118,420,978200,7
20274,3952,1,0,Sv47hkQmTuQ,0,0,20,4972,22575,275,866134,10
14840,75,1,0,gJuGKJaSyVU,0,2,24,10164,147546,1857,14942855,3
16474,17585,1,0,z1vz5RnsBzo,0,0,22,81,723,164,966626,6
3334,520,1,0,iYVEkewuLy0,0,0,24,15837,115188,6000,9295284,7
7275,555,2,0,brOuEy8trqg,0,0,24,6552,44648,693,2262526,6
10257,11572,1,0,c65ll_pOfwQ,0,0,24,6520,72514,2476,2675836,33
20571,11444,1,0,8VpZx9KzM0c,0,0,24,4673,70699,1308,2399689,28
9945,1499,0,0,UBF7qAxDtnQ,0,0,23,12269,71339,2976,5423546,3
12251,11497,1,0,oh5Tu_rM7Rg,0,0,24,2130,60600,964,1615316,24
21673,6618,1,0,Pq6vClYqm_g,0,0,20,898,4987,87,446842,4
