,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
15369,22945,0,0,LsylxSdZqfU,0,0,43,171,1047,24,37867,20,1781817.0
19796,21931,1,0,kgmf3f3bnx0,0,0,20,485,3523,53,218277,11,3010634.0
19113,6520,0,0,Ab5rGZSoTxA,0,0,20,1499,9273,223,749091,1,3792444.0
5827,4241,0,0,4qqhblaH3l8,0,0,20,1399,10795,80,472952,12,2852176.0
21425,3434,2,0,pGV3FAcF7dU,0,0,20,14484,69829,836,2441817,15,2741698.0
6495,15800,0,0,2p9PjMgiYC8,0,0,22,5240,19827,1081,3486277,16,2476649.0
10731,10380,2,0,z57te3tV7z8,0,0,20,6919,89586,1619,1004460,42,433767.0
4677,21600,2,0,c57_tx6IdyQ,0,0,20,1801,9481,382,1015308,55,-677459.0
1503,10482,1,0,GIdckhRIIBY,1,0,20,12295,88932,2814,2832180,20,2551796.0
14162,2936,1,0,YeumUzxF9bM,0,0,20,12121,124856,1128,3969824,20,2241324.0
5122,14697,1,0,PLOL_gG5FnQ,0,0,24,823,10976,931,3895977,4,3541764.0
2041,16895,0,0,LK4GPXxcGOM,0,0,22,4427,34123,1777,4335661,16,2476649.0
10758,15180,2,0,n58bFRauLL4,0,0,17,4743,60892,1656,13236611,5,3646903.0
1990,15557,1,0,fm6qieSnohw,0,0,22,6276,13130,187,446918,14,2720586.0
16696,1278,2,0,ABg-xB2izRI,0,0,23,18756,135015,5088,1984763,2,3802507.0
19762,5616,1,0,PYM4Oh2Dzxo,0,0,22,131,506,17,71813,2,3746333.0
8370,2097,0,0,svOk49mVtrI,0,0,20,8507,103787,1017,2486007,24,1826429.0
10682,10117,2,0,Yeh9X4lpUm0,0,0,24,84086,607063,7138,21637537,5,3529265.0
21162,16744,0,0,5wQUTPJFGJY,0,0,22,403,379,14,47576,10,2989523.0
18709,3422,2,0,g7Td6QM6CrE,0,0,20,34249,153783,2199,5056241,8,3340050.0
7347,4236,0,0,-6a1DOjt0UQ,0,0,20,1654,9975,63,345482,10,3023134.0
1772,2073,0,0,1c_ORyVoCiU,0,0,20,13082,184081,1498,3175072,10,3023134.0
4803,23710,0,0,znIxkWAWQ_A,0,2,20,559,2058,27,104811,17,1307277.0
15507,14757,0,0,0P9neZeQGwU,0,0,24,1172,8736,634,3009980,4,3468785.0
2305,6609,1,0,SA9eUxs727E,0,0,20,866,3462,84,345106,3,3694465.0
2602,22778,9,0,r68_SWjQ5cE,1,0,43,316,2735,43,188324,12,3432934.0
15348,5196,2,0,9rcomOfWUvs,0,0,43,5204,28141,1170,5427433,1,3551875.0
21402,5604,0,0,5CNg8WSlUjg,0,0,23,275,2023,26,223905,1,3742027.0
18828,10158,2,0,PsXJ9SOs9so,0,0,24,24587,297363,4263,9571545,5,3529265.0
4534,11509,1,0,ZivxLIRb9EE,0,0,24,2387,57885,1050,1346887,16,2516017.0
11653,14431,0,0,w6GpSikGq70,0,0,28,218,1407,77,115920,1,3658000.0
4690,379,1,0,P7LD9cOgkeU,0,0,24,6550,165001,4470,12723109,9,3114370.0
2161,8571,0,0,WujYP6p3S3k,0,0,22,2410,28084,558,601101,5,3416917.0
13817,1268,0,0,-Gc1yTf9AKs,0,0,23,8907,89408,675,2195830,9,3058196.0
17349,1294,0,0,K5uRIb3o4-U,0,0,23,9654,135856,700,2570622,13,2716280.0
5992,23447,1,0,R5ngK_vkSPM,0,0,20,92,843,7,86110,10,3096113.0
20582,13760,0,0,R9U_MgOC0bE,0,0,28,3323,29893,1079,1543292,3,3487042.0
4766,20925,2,0,FoSKo3k89Uw,0,0,20,1136,23055,125,891656,11,3083613.0
11809,23510,0,0,hDUd8b-xHqE,0,0,43,821,7186,90,271540,54,-1124466.0
15298,473,1,0,9XCUeg1yEQo,0,0,24,996,24361,1008,1202592,3,3627243.0
12082,6090,1,0,GiMkdxolTUI,0,0,24,8536,154554,3919,11421885,7,3285328.0
5348,17295,0,0,gCiIae7GP0c,0,0,22,183,1554,675,3352742,3,3587875.0
4070,19979,3,0,on1Oj52vrMo,0,2,20,1345,15191,274,755156,10,2124567.0
4898,24098,0,0,2HMFYX40hsk,0,0,20,849,6106,38,369828,13,2766697.0
10990,11165,0,0,ttDpMj9nnTo,0,2,24,8094,100379,1391,1966937,9,1923887.0
