,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
11398,1,0,qTP1QlomLr0,0,0,24,4311,55227,1608,1610448,30
11399,1,0,DFmvOYGSCLc,0,0,24,2197,53132,1026,1343253,33
11400,1,0,WGl5H2x6VIs,0,0,24,2664,75261,1443,2322946,38
11401,1,0,0oOem32rXNo,0,0,24,6256,89838,1719,2130280,40
11402,1,0,PhCIH0ayorU,0,0,24,4446,79825,1422,2281094,30
11403,1,0,zYZGToE-eOE,0,0,24,3660,59322,1289,2238137,30
11404,1,0,DeHmW_i3jQc,0,0,24,6267,129744,1666,2033619,40
11405,2,0,YOwjGao1Wfk,0,0,24,4582,69039,1257,1668346,36
11406,1,0,1yiuZHLnfxg,0,0,24,1677,32780,4638,737294,33
11407,1,0,WTQCx4AAD0k,0,0,24,4282,73910,1436,2357553,29
11408,1,0,i6fXdgx5AbA,0,0,24,5411,84874,1508,2146076,36
11409,1,0,LEIzItxnYo8,0,0,24,3496,74502,1805,1981036,30
11410,1,0,uInqY4MbgsY,1,0,24,3642,95870,2603,5742264,17
11411,2,0,vA3DmYSSRtc,0,0,24,6518,66533,1305,1356257,23
11412,1,0,nKcb9VBTrjY,0,0,24,5028,82698,1398,2486939,29
11413,1,0,QWTK1FfgzAI,0,0,24,5515,59824,1415,1572048,37
11414,1,0,2FHfP4tJHf4,0,0,24,1918,34346,1382,677758,30
11415,1,0,eR3gwbSrt4U,0,0,24,3815,77772,1408,2297280,29
11416,1,0,m2eMm0c8tvE,0,0,24,3494,49427,940,891068,19
11417,1,0,wBEO_PM8Jsc,0,0,24,5336,76415,2268,2562517,31
11418,1,0,lqHeCnnJdXQ,1,0,24,2491,77208,2287,2708142,15
11419,1,0,8hISGeqZDHo,0,0,24,4341,75116,1170,2146217,32
11420,1,0,u4OY9oZCykw,0,0,24,2747,74254,1344,2951942,29
11421,2,0,0oH0gJ1igUU,0,0,24,6190,78214,2940,3105261,24
11422,1,0,ADOfHGK_9bw,1,0,24,893,29098,462,479411,13
11423,1,0,AGM3193b2h8,0,0,24,4007,79450,1335,2069527,32
11424,1,0,NTk9QXCWfaU,0,0,24,3143,65986,1088,1762948,31
11425,2,0,a5KNiIWtPQc,0,0,24,3503,79939,1156,1928507,31
11426,1,0,uinL5eN7zN4,1,0,24,2337,30712,761,649069,39
11427,1,0,-pAMWppRMOQ,1,0,24,771,19629,960,406689,36
11428,1,0,9x9UjVsqRT0,0,0,24,1622,52687,1040,841053,21
11429,1,0,abDXEbV4FIc,1,0,24,1310,30643,1405,567911,38
11430,1,0,nZdD7HO_gJY,1,0,24,986,33971,645,511073,35
11431,1,0,CEu08w5v9iQ,0,0,24,3309,78239,2178,2266039,31
11432,1,0,ZTqJpbM_iRc,0,0,24,2927,63883,1497,1973084,36
11433,1,0,4yn8KoDT66E,0,0,24,1673,43397,2261,967892,31
11434,1,0,0eMsm0xLmww,1,0,24,1382,38654,572,510332,34
11435,1,0,ceJod3fXUlM,0,0,24,2847,83388,1512,2392150,29
11436,1,0,ISgRN8WiT0g,0,0,24,2986,61190,1181,2496478,31
11437,1,0,hNkdmlBNYjA,0,0,24,3049,80570,1612,2094804,31
11438,1,0,atXzzqN9vv8,1,0,24,2261,47690,2411,945868,43
11439,1,0,8mfJK-DoZis,0,0,24,629,10868,925,241168,34
11440,1,0,nF8_FcCoELk,1,0,24,974,34948,810,505527,30
11441,1,0,2CqZ5Z6dozM,0,0,24,3319,77859,1104,1823951,35
11442,1,0,KtAp8BODxtE,1,0,24,1382,49185,1034,652294,34
11443,1,0,uDa6Bv_dmWM,0,0,24,4750,79803,2705,4699171,20
11444,1,0,8VpZx9KzM0c,0,0,24,4673,70699,1308,2399689,28
11445,1,0,QiJ_RnCVo9k,1,0,24,3631,99663,3768,7520718,27
11446,1,0,ZvofA7NBmdU,1,0,24,1507,28472,708,605374,32
11447,1,0,W1ph6g3ImmA,0,0,24,9852,86541,1653,2316333,31
11448,1,0,VoUvUAYXCb4,0,0,24,3709,93026,1820,2545334,28
11449,1,0,i-Etj2epJaU,0,0,24,3044,73166,1016,1975190,30
11450,1,0,PV4EZSsEK6Y,1,0,24,2184,56781,998,1207883,41
11451,1,0,YUXApmA4CTQ,0,0,24,4051,85879,1480,2362750,29
11452,1,0,XqDh8QSdcPU,0,0,24,1012,12043,1318,296023,48
11453,1,0,jMU50Cks5PQ,0,0,24,3195,89323,1916,2915170,29
11454,1,0,6E0Vdh2UPkc,0,0,24,2395,68806,1195,2075434,29
11455,2,0,3lPvTcKSpao,1,0,24,1154,35839,1063,748781,36
11456,1,0,kO19GPxjCq8,0,0,24,2222,73537,1789,2604229,29
11457,1,0,PG6B49JMRjI,0,0,24,4077,95326,1453,2640888,28
11458,1,0,8n8gpqD_590,1,0,24,1104,37310,1261,803316,35
11459,1,0,aIP6er4YbmE,0,0,24,4665,102963,1730,3148636,30
11460,1,0,1FEf4Jcuvhc,0,0,24,3402,79917,1340,2325534,36
11461,1,0,-5vD2yTvtNc,1,0,24,1892,60103,1725,947120,37
11462,1,0,b-AqGChYwBM,0,0,24,3591,101922,1728,2770500,29
11463,1,0,i1hVH1ftSRM,1,0,24,2034,65099,1285,1171725,35
11464,1,0,LWpRRcxNGNw,0,0,24,4645,113089,1897,3304849,29
11465,1,0,oTXODCkWLZI,0,0,24,9547,144250,4582,4511610,24
11466,1,0,DUrZKZtzetE,0,0,24,6009,130050,1769,3758729,30
11467,1,0,_yMHe9yMudA,0,0,24,1804,53687,869,1155206,19
11468,1,0,whrz61MUJr8,0,0,24,3946,67078,2377,4199706,23
11469,1,0,vfKkwt0d5j8,1,0,24,2433,63829,1274,1292773,28
11470,1,0,THFn8RvJUQ0,0,0,24,12637,233527,4107,6192532,32
11471,1,0,gJgj0yfmiqs,0,0,24,2019,58894,1370,2830417,16
11472,1,0,6jHMwt0ZvkA,0,0,24,7351,107881,1546,2957945,40
11473,2,0,jHdZEbxjFwE,1,0,24,1834,48150,1197,1143221,25
11474,2,0,IAzaBQ1TNPw,1,0,24,7720,186506,9636,19389335,17
11475,1,0,-V20bqq8wHg,0,0,24,3485,81537,1771,3135807,39
11476,1,0,KkOk5yDNMSI,1,0,24,1612,54864,1116,1303883,28
11477,1,0,HuwbIZDN2NM,1,0,24,5837,84524,1678,2804857,43
11478,1,0,FcowdR4OeVk,0,0,24,4488,92365,1322,2236523,35
11479,1,0,0L-KgPxtysw,1,0,24,2482,87004,1901,2167930,29
11480,1,0,tiKB-kOIB_4,0,0,24,3770,91260,1813,3872147,30
11481,1,0,LPA3-97QnkI,1,0,24,2183,74852,1431,1933809,16
11482,2,0,S6C1gkeYqZs,0,0,24,3039,84374,3285,5451298,14
11483,1,0,FHEgxAzdNtM,0,0,24,2414,61821,1110,1954672,18
11484,1,0,xI4n2hZqWCo,1,0,24,2784,65440,1841,2746339,25
