,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
5907,11764,1,0,HdbA8GP5hz4,0,0,24,6740,62535,1172,2455033,35,990472.0
4465,21481,2,0,FFoqCsCND8M,0,0,20,2975,45220,514,1471200,15,2684971.0
18329,4789,2,0,dkf3LF2R3nc,0,0,24,3555,71033,1515,3605451,5,3452753.0
14838,23150,0,0,G9DP6nIfJaQ,0,0,43,641,3591,59,159891,17,2216193.0
8695,5351,0,0,6-wEAeNcA_A,0,0,10,13102,226527,2258,10309622,3,3802330.0
15881,3021,1,0,qfTOTsCzMBQ,0,0,20,7261,202739,1971,8220275,20,2274591.0
8246,4914,3,0,NuuqhpW9jjA,0,0,24,1202,42880,416,1700043,5,3452753.0
7537,13483,1,0,wr_LBaUSEVk,0,0,20,2268,14727,795,2080901,41,550994.0
13698,9898,0,0,VrC27idPTck,0,0,24,389,2041,19,58850,9,3124449.0
13849,8098,2,0,l5Te8LjYdeM,1,0,20,694,3100,217,700121,10,3095351.0
239,5058,2,0,7IrfOYp2Bn4,0,0,24,23181,95430,5693,5789099,3,3616905.0
1901,22286,0,0,7DTCHRyMCrM,0,0,20,255,1568,27,132241,15,2684971.0
16257,16462,1,0,EXehY8KkThE,0,0,22,1376,5316,308,1084069,12,2904710.0
21239,6490,1,0,nopsVP8T9gk,0,0,20,160,24085,46116,1837779,38,797222.0
18539,23101,0,0,e0ZKfpHTBZ4,0,2,43,456,3365,44,142617,11,2708649.0
5670,19695,3,0,8iVUNbrP09M,0,0,20,1456,10445,176,393050,15,2684971.0
8920,6338,0,0,402Qdxc6UlA,0,0,20,10289,44593,1006,3774397,10,3095351.0
6303,11926,1,0,_mUzPn4O62c,0,0,20,12344,113639,1847,1445852,29,1535906.0
1169,10598,2,0,K0vCwGAodPk,1,0,24,8662,82343,2163,3125819,22,2057460.0
4665,485,3,0,Q0-9eBJfhls,0,0,24,13589,157343,2136,9480309,9,3124449.0
4422,16568,0,0,vVhImJVWe6g,0,0,22,965,2787,101,182280,13,2822634.0
6279,2463,0,0,PT5qFiBr7Rk,0,0,20,18,194444,2019,5002278,8,3259503.0
11421,21942,1,0,knF5v3I9s5o,0,0,20,1656,4690,145,340565,15,2684971.0
19225,9098,1,0,S0vubY3ZpYU,0,0,24,1100,15930,107,240446,6,3370677.0
17346,6474,0,0,G7s6fkW7S2U,0,0,20,2993,11882,744,773514,3,3669884.0
9905,2690,1,0,b1xCyw4CHrU,0,0,20,2,108198,1545,4809139,8,3259503.0
671,6785,4,0,X4f-0nlrK1I,0,0,20,1045,9935,192,440581,2,3751960.0
2134,15326,1,0,hvOsfuSTOwU,0,0,22,1092,8411,118,270627,4,3561318.0
19695,10094,2,0,LwKhIHkxseM,0,0,24,91357,706702,12007,34914758,5,3452753.0
8135,23762,0,0,DaLkG2LofFU,0,0,20,284,1843,22,91098,10,3095351.0
5174,11981,1,0,hzFptz3ngCM,0,0,24,6999,58775,1062,2418677,35,990472.0
5764,3085,1,0,0NaqKTPsldA,0,0,20,37562,154525,2496,7332928,22,2110439.0
1531,3334,2,0,qoFeSkbUxEs,0,0,20,21574,317585,2742,4655135,16,2602895.0
7538,4988,2,0,_hZRfOMwyiw,0,0,24,8646,109559,4274,5315414,4,3534829.0
1696,3747,2,0,kuDiUkqQLOw,0,0,20,13194,40404,497,1663226,18,2438743.0
20102,11391,1,0,gcB9ulZ2mJQ,1,0,24,4779,120759,3602,5880004,24,1893308.0
5163,22458,0,0,cJH2wkzGjcg,0,0,20,663,3203,52,256266,13,2849123.0
16794,17260,0,0,ttYS7rs-_V0,1,0,22,101,1761,537,3828903,3,3643394.0
17257,20882,3,0,oiN4n-6dbP0,0,0,20,1911,11753,149,361301,19,2356667.0
14124,7572,2,0,YVQkCZwOrPM,0,0,23,3237,39723,573,2017243,4,3548074.0
13733,4880,0,0,6YHBCeTyxEc,1,0,24,16921,146331,3607,9212996,5,3452753.0
782,22423,1,0,OK7VWE7BdmE,0,0,20,835,3412,116,446744,37,879298.0
16657,23708,0,2,2YYSqcdXlHI,0,0,43,283,2430,35,154503,11,2708649.0
16536,8312,1,0,GOdljzx-xSA,0,0,24,13178,220874,1387,1322546,3,3616905.0
10284,15789,0,0,fCrvh2lWf-s,0,0,22,2378,5630,149,311333,13,2822634.0
16877,1643,0,0,BgtWvrORqa0,0,0,20,18429,163665,5795,4004591,8,3259503.0
13499,11294,1,0,HTcoYczV5y8,0,0,24,3022,36189,1094,1200822,22,2057460.0
17986,4743,2,0,_ZEEw5wrino,0,0,23,6550,38610,935,2518533,4,3548074.0
14382,23745,0,0,6d1ipZsulV8,0,2,20,237,1611,14,136783,11,3013275.0
4089,1824,0,0,Snv0Nu3Anqk,0,0,22,799,14739,316,353253,41,524505.0
20169,7125,1,0,eH82bqTB3i0,0,0,26,7541,42243,2875,11998215,6,3344188.0
1595,16867,0,0,Fc0z_bkUGbw,0,0,22,459,2185,170,567005,14,2740558.0
13099,20552,4,0,gXZOZx96VZs,0,0,20,621,10213,67,459466,15,2684971.0
8249,21641,1,0,JKbr51UCuf8,0,0,20,783,6999,56,270905,10,3095351.0
20756,11088,0,0,uT4PUZquz74,0,2,24,1459,21165,588,464845,35,990472.0
266,12588,0,0,Tr4YODP54aU,1,0,20,6134,33017,702,1072158,37,879298.0
15042,3012,1,0,167fauhjzPg,0,0,20,14112,151429,2702,8627762,19,2356667.0
17725,2183,0,0,uT7fYAPQ23I,0,0,20,0,145450,2147,3953951,38,797222.0
4217,9874,0,0,4DD0dXoE7Y0,0,0,24,395,3547,55,71131,4,3534829.0
19353,9489,1,0,pbz8Imm1AVs,0,0,24,2745,19231,145,313832,9,3124449.0
11684,14239,0,0,oVcupx9fBwU,0,0,28,1213,7194,134,239829,3,3563927.0
9076,16146,0,0,iRN_Cs6HzHQ,0,0,22,662,2357,77,243388,11,2986786.0
9205,10604,1,0,KkO-7LhRkD8,0,0,24,5867,77669,1202,1633026,30,1400852.0
17366,12790,1,0,OZTUCf9f43g,1,0,20,2202,31469,942,2977770,17,2520819.0
5922,14232,0,0,sr4RgtgIVGU,0,0,26,797,4640,219,242874,3,3590416.0
16683,20215,6,0,TiF1XvoZsGY,0,0,20,2477,30007,201,1105456,14,2767047.0
16228,22866,1,0,UQOqhdBs3uU,0,0,43,388,3016,38,224096,11,2708649.0
18456,6744,0,0,SZgAuhbdM4M,0,0,20,84,979,23,41036,2,3751960.0
7575,14856,3,0,WDb2NVcQuzY,0,0,24,935,20791,2470,8035122,5,3452753.0
17171,7312,2,0,fpBP3mAd4K0,0,0,23,7748,132459,1608,3412918,5,3465998.0
19280,10578,1,0,kw1AmA-ZhLI,0,0,24,18407,124882,2390,2832899,36,908396.0
10873,24072,0,0,7t2eDQfZa-w,0,2,20,569,4009,36,163902,14,2767047.0
18380,4937,1,0,LOY3WtP-QKM,0,0,24,12003,160385,4634,9949780,4,3534829.0
12696,22098,2,0,_iLlfLIQar0,0,0,20,524,4405,67,336696,13,2849123.0
14092,7008,1,0,iMFx9IwM-0Y,0,0,26,12081,50890,1627,4230803,8,3180036.0
16142,14121,0,0,AIILgBe3TQo,0,0,28,817,6505,362,238043,4,3481851.0
10610,10743,1,0,tFfS8i9i0nc,0,0,24,5908,65660,1161,1320920,32,1236700.0
5553,13792,0,0,T_QXpTJSgoA,0,0,28,1776,14404,799,559796,2,3646003.0
6513,11369,1,0,Hios50TS9bY,0,0,24,4172,58606,1241,1552899,31,1318776.0
17288,8966,1,0,c3qqB5Wpm88,1,0,22,1388,18094,159,402783,2,3725470.0
18807,3734,1,0,fzridCEr5do,0,0,20,8484,44344,545,1263632,13,2849123.0
6608,7647,0,0,r01KfKa7EWQ,0,0,24,292,1765,135,374876,2,3698981.0
4785,8131,3,0,8y-N6UDxTxQ,0,0,24,4306,59847,360,676972,6,3370677.0
17000,5399,1,0,vxIOUJ7by6U,0,0,10,29643,371480,3415,40443723,3,3802330.0
280,6757,0,0,AZPLnmz-pzw,0,0,20,719,4063,58,428997,3,3669884.0
19451,17592,0,0,J2yPr9MJEk4,0,0,22,26,893,623,3735719,1,3807546.0
12979,2211,0,0,ypp-2pLME9s,0,0,20,1,161187,4259,6214152,44,304766.0
20240,17342,1,0,uNaa1wJz4-0,0,0,22,176,1947,647,4204957,2,3725470.0
16840,16611,0,0,h5v7gDpcKFQ,0,0,22,767,2700,131,448190,8,3233014.0
2063,6348,2,0,HGJfsza5HrY,0,0,20,5567,18915,458,1030457,2,3751960.0
7779,6630,0,0,74N2A6BKz6c,0,0,23,688,3666,418,464153,0,3876378.0
10066,6928,4,0,LdiYMVYHMqw,0,0,26,8195,48767,1753,1808964,6,3344188.0
15258,15357,1,0,2JI7VNLEKzA,0,0,22,4763,20069,214,605317,15,2658482.0
6273,8700,0,0,RlzTvjVyoK0,0,0,22,8287,87093,1859,2137669,10,3068862.0
21490,13737,0,0,UlzSQeh-4UM,0,0,28,11968,54208,1841,3527412,17,2414862.0
10504,23964,1,0,j98TKD_JiAI,0,0,20,257,1304,35,118551,14,2767047.0
14463,20061,4,0,7yQTNjT0WS8,0,0,20,355,4969,45,192804,27,1700058.0
15672,10731,1,0,mqgjl5x2ksw,0,0,24,4302,49659,1259,2115403,18,2385764.0
18243,5681,0,0,fRESQFqqLt8,0,0,24,94,664,17,51633,2,3698981.0
9082,1043,3,0,FdJM6O1VP7M,0,0,24,5385,61279,2315,6425327,5,3452753.0
1004,58,1,0,7SUVd0LG6qw,0,2,23,3911,65641,1029,4815145,2,3712226.0
21880,10562,1,0,LCuTTHoYNgs,1,0,20,4725,124503,1187,1170149,24,1946287.0
16111,22309,0,0,_yA2WpKIGQg,0,0,20,428,2627,30,232086,22,2110439.0
1432,9808,2,0,pfNfVWxCc6Q,0,0,24,3760,13741,132,262762,18,2385764.0
1215,7964,1,0,O4nnwG6ye1g,0,0,26,4739,15376,423,1151552,5,3426264.0
21627,9339,2,0,CSg7gHU1hBo,0,0,24,13006,113741,2349,4973349,11,2960297.0
16093,5051,1,0,EX6HYJc-Mm4,0,0,24,22396,159209,5765,14952888,7,3288601.0
3834,7274,4,0,Ybg6S3jQdfw,0,0,23,10788,122912,359,1128109,4,3548074.0
9705,5730,0,0,KM5PIC0n8yU,0,0,23,78,430,15,50924,3,3630150.0
7647,17218,0,0,qiXbBG6rDW8,0,0,22,121,1626,205,2357002,1,3807546.0
18236,3093,1,0,eaR-kphfl28,0,0,20,10885,146244,1491,3993436,9,3177427.0
17394,6336,1,0,lwDlEdpW3oA,0,0,20,3115,17983,298,908466,2,3751960.0
14657,5752,0,0,td4O0eGufLw,0,0,24,7531,113925,2072,2458242,5,3452753.0
1265,21500,2,0,HMmQ8FLjLf8,0,0,20,1377,12928,92,337624,18,2438743.0
2583,14733,0,0,ASI2cRUGw48,0,0,24,540,1833,142,709696,1,3781057.0
11025,14197,0,0,nczVIb66oKM,0,0,26,779,6160,393,188493,2,3672492.0
21485,16699,0,0,BuBzb7JufTI,0,0,22,697,3002,273,1040083,10,3068862.0
1242,22613,1,0,ARX76DSYMXI,0,0,20,281,1860,32,116329,11,3013275.0
17105,15437,1,0,9Sx5EdQtAuQ,0,0,22,6907,16141,176,735651,18,2412254.0
12430,11678,1,0,ptP1XswdJV0,0,0,24,4521,71877,1654,4601758,34,1072548.0
6773,23853,2,0,OQLQ4VaF_oU,0,0,20,509,5197,144,336214,22,2110439.0
2867,21091,4,0,odtXQZvGp_o,1,0,20,1176,11889,148,401900,12,2931199.0
5157,5088,1,0,fAbyO0EpuVE,0,0,43,17913,87839,2409,6476939,3,3365257.0
