,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
7672,24070,0,0,c0NqneKSk7o,0,0,20,978,6763,86,266533,10,3023133.829113854
1778,7855,3,0,piVKKGluSEg,0,0,26,11548,69926,1049,4150669,6,3483153.6592382216
12369,23600,0,0,VsEPThnSbug,0,0,20,276,1353,33,165636,9,3108612.7399169574
20672,4349,0,0,4-pQM3kSAJU,0,0,20,657,5037,31,210540,5,3450528.3831293695
8925,14706,0,0,Cjv0a2UpSrw,0,0,24,795,10307,857,3861205,10,2955911.688142335
19807,1939,1,0,dxIJBvACjdE,0,0,20,17951,141419,2796,4662167,1,3865423.159131526
18827,10473,1,0,v1JKZMiYPsQ,0,0,20,2451,45206,922,886293,16,2583239.497084981
8079,14851,0,0,faioc_IsBuU,0,0,24,1355,11887,1496,6045405,7,3212348.420551644
5758,23157,0,0,y2j1xDvMjJc,0,0,43,122,1316,25,134099,20,1781817.4104965893
12913,23181,0,0,Po-OV9asMI8,0,0,43,373,2272,27,123888,29,1012507.2132686628
15275,1543,0,0,YATKPtZkVwk,1,0,23,281,2892,85,421379,0,4137978.96735043
18385,21937,1,0,3LueiV01wEQ,0,0,20,537,4039,40,144365,14,2754197.318691187
1991,20318,3,0,4pJEywa_1Es,0,0,20,1717,18236,168,1016924,16,2729197.7626644704
3146,22986,0,0,cfQcYZutofY,0,0,43,94,737,4,35410,14,2294690.875315207
20227,17125,0,0,bg1KKd-98c4,0,0,22,289,3299,422,3065335,4,3502396.223446713
3295,3817,0,0,2TenC87YE6E,0,0,20,14613,71358,781,3877086,19,2253823.6318859276
16424,22879,1,0,E-zjrSTDF2Q,0,0,43,398,3958,85,291538,12,2538627.829711158
7461,17598,0,0,uAvLYlM1N7c,0,0,22,3,100,37,401487,1,3758832.9558560215
9840,14356,0,0,M4ar3pcEGEs,0,0,28,1191,7609,375,626502,4,3401563.011989434
1868,1374,0,0,3CIXx9yP_Bw,0,0,23,6431,91495,4209,2562468,4,3485590.688203833
12236,9360,1,0,ER0ABUUChE8,0,0,24,1718,13613,929,230563,6,3370806.4641444916
21921,12375,1,0,SPcy5vYO60c,1,0,20,6639,34259,730,1020045,38,1013176.0953509011
11178,13382,2,0,-Fi9rbQLWPI,0,0,20,1567,6370,189,600843,33,1203077.1462219753
11136,5699,0,0,q2_bjxRW00o,0,0,23,15,265,3,22663,0,3827506.3314162446
16145,15371,1,0,WxQf_piAKW4,0,0,22,10410,31724,629,1694634,10,3062501.8914178396
10551,8387,1,0,pFHpPBDAzyM,0,0,24,6861,70169,405,2175887,7,3285327.5533413887
20993,2202,0,0,tF_5aqi_nsE,0,0,20,10,152096,1745,4367762,7,3279570.561523163
1690,16730,0,0,eiGHJW2Yrmo,0,0,22,360,366,19,39104,12,2818564.937021889
4668,23091,0,0,4jo6fmVDGZY,0,0,43,197,2000,21,81380,13,2380169.78611831
4512,8376,2,0,JnX45ItH9Ms,0,0,24,4695,17529,108,329066,6,3443785.5969342366
7807,11350,1,0,2hgTCnwIqPU,0,0,24,6391,77310,2047,3129182,32,1148354.7832638142
3361,13101,3,0,5c07FFYhqhk,0,0,20,4819,16053,454,928291,38,848661.724996205
21103,9904,0,0,niUjdl91yEQ,0,0,24,990,2607,15,49801,6,3297827.331354747
15717,15998,0,0,GYF82mx0uKs,0,0,22,1316,2535,65,192337,11,2904043.8478249917
161,22568,0,0,YeElh062OSA,0,0,20,2655,16535,272,676025,10,3023133.829113854
19956,6492,0,0,OMWTRX2H_eQ,0,0,20,2083,7406,88,565350,2,3706965.115538678
153,22830,1,0,8uRWfdDvLic,0,0,43,357,2192,20,137265,12,2538627.829711158
8137,1339,0,0,xWGA8i2TynU,0,0,23,11095,111065,1579,4209918,12,2801759.401779009
17824,12919,0,0,UDb2lv739kw,2,0,20,2426,11542,279,194138,36,1421627.4201015476
5020,7322,2,0,Q9vx4Y-HN5w,0,0,23,23058,142294,972,3542677,8,3289633.3105709106
11118,22169,2,0,8TQ923k0m3I,0,0,20,792,6077,72,360489,18,2485260.80826852
9424,3020,1,0,kCjboXbqiLE,0,0,20,21283,213129,1743,3003965,5,3523507.515919114
13883,7385,2,0,voMsUobcteE,0,0,23,14752,308227,2020,5925537,8,3289633.3105709106
1745,19974,3,0,F3UGflTFZnA,0,0,20,825,7456,154,332955,10,3242071.227483088
434,9651,0,0,pkoYvA3-xEY,0,0,24,2046,6456,94,248991,7,3212348.420551644
16714,1820,1,0,Znyw-wU5aBk,0,0,22,10328,153389,1738,3428101,5,3489896.4454333545
14434,2090,0,0,qvVUbfIywsg,0,0,20,7148,117805,1928,2854923,11,2937654.918310751
15375,15611,0,0,lFO8nVhlfFw,0,0,22,10863,38677,3274,8809848,19,2220212.561400168
1230,5423,0,0,M2WTRqCu_DY,1,0,24,20998,300325,4548,21655969,5,3693778.878092035
6863,14496,2,0,QgB7-5HVtWY,0,0,28,364,1151,35,65888,4,3547521.2775689233
10929,11392,1,0,A9Y2CJUA0zY,0,0,24,2329,73446,1352,1952044,30,1319312.6048700204
4392,16228,0,0,kpWeyLIJ1b4,0,0,22,1183,1487,62,204504,15,2562128.20461258
15480,15060,3,0,MCgiWkuqee8,0,0,24,824,4336,486,821960,2,3858680.372936393
5698,5005,0,0,Oi2jIyeTI3g,0,0,24,11084,193227,8098,23450394,6,3297827.331354747
14207,23125,0,0,nzI-Y-NJTZc,0,0,43,65,657,14,61115,11,2551127.607724516
16923,10179,0,0,xc4kEWbxvW4,0,0,24,8882,71156,2831,2184381,4,3468785.1529609533
9255,16211,0,0,NMax1LXmrgY,0,0,22,1287,1978,88,209668,10,2989522.7586280946
14581,16649,0,0,0zADSHtq440,0,0,22,279,751,24,80769,8,3160480.580234301
8587,14926,6,0,J3b4WZ0mogg,0,0,24,422,5979,880,2652077,5,3821181.038896318
3132,10097,2,0,diXBkraqL-I,0,0,24,115094,622997,10437,23160270,4,3614743.4185404424
3028,12361,0,0,er-SYGBfc6w,1,0,20,7733,87011,2310,6156015,29,1709507.159789083
9647,11329,1,0,k2l6StERv5Y,0,0,24,5220,77372,1401,1495913,34,977396.9616576084
11405,19880,3,0,7vsujBNdEek,0,0,20,1339,18320,269,779340,10,3242071.227483088
6972,3927,0,0,oaywuR71W3s,0,0,20,7694,37835,306,1399289,11,2937654.918310751
21359,355,0,0,9l02Nea46og,0,0,24,3517,25938,559,1831532,7,3212348.420551644
8619,24218,0,0,EGnJs-EU5L0,0,0,20,69,473,6,24297,6,3365049.4723262666
6395,5918,0,0,I4FG7JHPc2E,0,0,24,1549,67624,1081,2669347,6,3297827.331354747
7263,9282,1,0,MQTIqfUg31A,0,0,24,15389,159057,3882,4138042,4,3541764.285750698
17952,15865,0,0,lX2Y2HRFvU8,0,0,22,3411,8645,234,998159,12,2818564.937021889
4335,9072,0,0,axvMq8RjWUM,0,0,22,2693,28763,126,619967,8,3160480.580234301
18300,3030,1,0,gC7q17VoB6M,0,0,20,39103,394458,5356,19733715,7,3352549.6943129078
11233,9418,1,0,jZWm4P0B1YA,0,0,24,8705,63603,1754,1520089,14,2686975.177719668
10882,23204,0,0,OuWbqQPEeDY,0,2,43,314,1174,63,69657,13,1262665.711461666
16899,15208,0,0,bncigQRjjaw,0,0,24,177,1246,44,370446,0,3810700.796173365
2623,21846,4,0,pWZY7PwMaW0,0,0,20,1597,12597,235,893891,13,3058613.627863524
9272,3743,1,0,swY1VhD3EgU,0,0,20,10170,37700,350,1242865,14,2754197.318691187
4268,8753,0,0,fNkYmeMU7RI,0,0,22,2857,29078,222,526996,7,3245959.4910374037
4921,7080,3,0,9hCMD02t3nc,0,0,26,5575,31435,1552,3156486,5,3568632.5700413245
18195,8666,0,0,bS2vhgnFddU,0,0,24,47189,165500,14306,9382747,23,1844685.8477019966
15615,12239,1,0,_DTA7xo5Jec,0,0,20,3997,44289,1241,1120920,45,104351.08379499521
3572,4740,0,0,N32y6srhTNc,0,0,23,6004,73350,3218,2609853,4,3485590.688203833
1554,6192,0,0,BcTdiICbR8c,0,0,20,2198,40674,1061,2338429,2,3706965.115538678
12182,23298,2,0,gtAZImU4CRc,0,0,43,164,1553,12,81909,12,2611606.9625009024
21638,10837,1,0,dncTVOgUhFk,0,0,24,5770,87899,2084,1902686,13,2772454.088522771
7269,22994,1,0,cJeyAMtUJy4,0,0,43,799,6626,64,224860,11,2624106.7405142607
6681,21956,2,0,-68X_BjRWuc,0,0,20,379,3066,38,136542,22,2143345.165056108
15774,7064,2,0,AwmIRVJNiqY,0,0,26,8349,46834,2310,3021766,3,3666611.2588577857
1791,16458,1,0,LOW3ivzKTBY,0,0,22,5099,2600,121,291341,12,2891544.069811634
14810,695,2,0,m8tlFnMwnF4,0,0,24,1048,12896,290,650102,4,3614743.4185404424
19959,12232,0,0,6DEDyemhNGs,5,0,20,1647,30397,344,520764,41,1925650.773888588
5779,21677,0,0,5cRrAw7DiQg,0,0,20,856,6446,69,260961,12,2852176.0075076483
7391,16888,0,0,4UOfw8NEK3A,0,0,22,299,1322,88,380794,18,2305691.472203271
5810,3954,0,0,3tTt4jKSsLY,0,0,20,10641,58647,445,1913640,10,3023133.829113854
13528,21835,0,0,HFJ0JTaMxUg,0,0,20,12861,74236,1144,3066499,38,629724.3266269714
5773,15981,0,0,SNXjHeWTK4c,0,0,22,1044,2270,54,156124,13,2733086.026218786
21085,21773,3,0,VormzoTEHic,0,0,20,1280,10776,357,1178267,27,1788929.7438303377
21157,595,4,0,et3A0LCBUys,0,0,24,22516,471084,8059,26052687,17,2649475.843679593
2160,20704,5,0,QFIbos639Nc,0,0,20,10888,32154,392,961384,19,2618719.2958346508
8057,3674,11,0,IY8o8mP-nDs,0,0,20,35245,84167,1340,2367999,9,3911383.200604148
12116,4278,0,0,XTBguF4C8mI,0,0,20,6706,40717,389,1713310,10,3023133.829113854
11831,13944,0,0,K4svHDFxapc,0,0,28,1496,28222,1693,2667849,1,3657999.744398743
9870,345,1,0,yyca0sHKkJ8,0,0,24,3007,49360,910,2526449,7,3285327.5533413887
18226,23521,1,0,SGZchJElcM0,0,0,24,284,1103,28,83255,22,2003143.891294844
12288,8655,0,0,eUV5M3FY_rs,0,0,22,5889,53498,1394,1691105,12,2818564.937021889
7550,10051,2,0,om_aRSx9YJY,0,0,24,163717,1172485,21109,45934279,4,3614743.4185404424
2081,12455,0,0,f_Hsaf0NZ6Q,1,0,20,7777,82058,2847,7795939,27,1880464.9813952888
15820,20079,4,0,FqdIBhspwIk,0,0,20,999,8567,87,331176,22,2289303.4306355976
10974,11536,1,0,BFT8HMPuMJE,0,0,24,1264,16182,1189,336025,19,2259580.623704153
952,220,2,0,IBDsJd4VzCc,0,0,24,21026,71412,4984,2729927,8,3272827.7753280303
7489,22435,3,0,ZGeGbkfvquk,0,0,20,433,3110,62,127113,16,2729197.7626644704
8225,21614,2,0,QNpsrjaLg_M,0,0,20,1417,5914,99,380298,1,3938402.2919212705
12958,2020,0,0,BwBhgONTTbQ,0,0,20,29220,119799,2079,3677092,9,3108612.7399169574
15821,3255,2,0,TbLIluNacg4,0,0,20,25521,203412,1736,7640451,14,2827176.4514809316
6133,11260,1,0,770P41yBWxU,0,0,24,5302,93589,1196,1078227,37,720960.2292482993
8523,6560,1,0,ZE6mE3yH-yI,0,0,17,1622,13097,195,1502519,0,4001318.675663268
9209,23467,0,0,sGrCX0Z0phQ,0,0,43,277,2113,33,223618,12,2465648.696921413
19610,12346,0,0,b1eOf2057j4,0,0,20,9512,68265,1118,1869606,45,31371.95100525068
21993,6193,0,0,7pFfWDnesEI,0,0,20,2609,37494,895,2344107,5,3450528.3831293695
6652,631,2,0,ijWnKocnycA,2,0,24,1858,23383,437,1557202,3,4321167.601211916
15736,8133,2,0,UxODkazpw98,0,0,24,4016,32044,339,420162,6,3443785.5969342366
14289,20779,4,0,wwVA3xATFHo,0,0,20,938,15663,134,514315,15,2887655.806257318
13318,14599,3,0,UNr76jgnisI,0,0,24,37592,6597,1234,693132,0,4029638.194542599
6747,14322,0,0,M3vtVCbA6Oo,0,0,28,1383,11303,484,970828,5,3316084.101186331
10260,3481,1,0,9yMmqckmV5E,0,0,24,71726,476923,4100,14357659,6,3370806.4641444916
19819,4685,0,0,yCD-YkR45FY,0,0,23,4675,33145,516,1198553,10,2972717.223385215
8757,7071,1,0,Sty2P_m6CdA,0,0,26,3471,24926,1436,2580246,9,3080758.6612494234
19808,15158,2,0,e38p63Md5LA,0,0,17,4028,50025,918,8094935,3,3817861.076043704
19040,13306,1,0,X8yhTCzSK-8,0,0,20,1456,4007,184,339065,28,1557492.5674477457
1964,13527,1,0,_AiAvzbJBJQ,0,0,20,787,3120,91,323048,37,788182.3702198188
12302,6859,2,0,3jPtuKAuj-Y,0,0,26,2352,44175,5617,1507669,4,3581132.348054683
20220,22164,2,0,yU8ZT7yERpE,0,0,20,1564,13971,167,1105112,15,2741697.5406778287
2664,6389,0,0,zegCe_67JfI,0,0,20,6081,33923,792,2991232,10,3023133.829113854
12117,14158,0,0,wWVZzHFe_w4,0,0,28,1315,11405,494,311868,1,3657999.744398743
12799,10698,1,0,zKkpMpaFq7c,0,0,24,3395,64788,917,1270621,38,635481.3184451964
14343,5345,1,0,3Wqzh1GL71Q,0,0,10,3014,91790,1264,2630381,4,3777041.779151015
13141,3779,1,0,gHyz4e4F2V0,0,0,20,13275,41524,455,1607880,22,2070366.0322663635
13171,21541,1,0,1IrE13PAxLs,0,0,20,2648,17782,280,682212,10,3096112.961903599
22093,4380,0,0,VnUrPE9nYZE,0,0,20,3524,22420,195,1329959,8,3194091.6507200603
16436,11263,1,0,ySeE477Ju64,2,0,24,1342,23691,940,452763,30,1940257.8767383904
22078,6043,0,0,lmj4rdA1Hoc,1,0,17,2104,50325,934,2063909,3,3982375.4463984
11404,20913,2,0,N6TEtzC0xe0,0,0,20,426,4803,93,291255,15,2741697.5406778287
2837,7473,1,0,k3kEiq9c6mM,0,0,23,760,9002,187,310582,40,481329.03208187036
3033,5797,0,0,bgknxhRRie8,0,0,20,6184,72345,1163,1883524,13,2766697.0967045454
1367,2094,0,0,xN5XlqT0iwo,0,0,20,1344,22858,148,681386,18,2339302.5426890305
4934,6535,0,0,ybi62-FitYo,0,0,20,1384,23702,431,2565464,2,3706965.115538678
7893,20906,2,0,DEdHuY4xqFQ,0,0,20,989,15570,185,713487,15,2741697.5406778287
11999,9917,0,0,5GLtl5Zv6HM,0,0,24,722,1730,142,64236,6,3297827.331354747
11363,10408,1,0,opGEKvk1KC8,0,0,20,11650,203841,2023,3449010,31,1301055.8350384366
18413,15577,1,0,Hg0RFsxpMc8,0,0,22,3498,10821,149,406713,25,1780318.2293712948
18511,2451,0,0,3dNQeAL7C1c,0,0,20,5,177172,2497,4238531,8,3194091.6507200603
16478,3722,1,0,8NCMC1ATmDk,0,0,20,3972,18086,225,892259,20,2241323.8538725693
16729,22405,1,0,g1-_Yjm0N2I,0,0,20,992,6785,71,455408,13,2839676.2294942904
7951,10993,1,0,IVDRlIjGcxo,0,0,24,4240,45965,798,920588,28,1490270.4264762262
1025,17578,0,0,4Qe1aBIKOM0,0,0,20,9,297,188,1265397,1,3792444.026341781
18143,19902,1,0,94jI2ILV0_g,0,2,20,1028,13281,119,431984,15,1551214.3332314398
10607,15621,1,0,0LGJPXpnH-c,0,0,22,10042,17862,172,654699,13,2806065.1590085304
16385,1979,0,0,_0YYHJqMy6g,1,0,20,8180,138505,1494,2877942,10,3333606.4650480393
9182,16104,0,0,I_I0aKu9hbs,0,1,22,753,2581,122,270310,10,2430770.7212997726
4914,14768,0,0,OjO02bsitB8,0,0,24,2029,20218,3128,12686624,5,3383306.24215785
7499,1259,0,0,tfywWEEsy8Y,0,0,23,5381,95622,1723,2188806,4,3485590.688203833
81,1542,0,0,oVKlR0p1e2w,0,0,23,2838,9044,332,1923304,3,3571069.599006936
2408,11872,1,0,sapF8-wzKIo,3,0,24,2711,33116,560,733889,26,2592646.1558849877
9815,5577,2,0,qj9OEmUr0F8,0,0,23,3851,25462,617,3565154,3,3717027.864586425
2182,23034,1,0,_7ewZGCMiwg,0,0,43,1204,5018,89,351797,12,2538627.829711158
6376,5628,0,0,A7fN4MtA_oQ,0,0,17,157,826,45,96133,3,3671902.8104642145
12187,17597,0,0,MrdDNtfl3vY,0,0,22,28,516,265,1594973,1,3758832.9558560215
17248,4336,0,0,lKpxNByANSk,0,0,20,1397,11719,135,737132,11,2937654.918310751
17838,22078,2,0,z9PnIgBKWAY,0,0,20,1927,5656,75,342961,14,2827176.4514809316
